"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"54","Rebel Officer","male",6,44,3.74241031850956,7.48482063701911
"55","Rebel Officer 2","male",1,4,1.12837916709551,2.25675833419103
"56","Rebel Pilot","male",2,5,1.26156626101008,2.52313252202016
"57","Rebel Pilot (Female)","female",2,13,2.03421447256411,4.06842894512822
"58","Rebel Pilot (Female) 2","female",2,8,1.59576912160573,3.19153824321146
"59","Rebel Pilot (Female) 3","female",1,8,1.59576912160573,3.19153824321146
"60","Rebel Pilot 2","male",1,7,1.49270533036046,2.98541066072092
"61","Rebel Pilot 3","male",1,6,1.38197659788534,2.76395319577068
"62","Rebel Pilot 4","male",1,3,0.97720502380584,1.95441004761168
"63","Rebel Pilot 5","male",1,3,0.97720502380584,1.95441004761168
"64","Rebel Soldier","male",1,6,1.38197659788534,2.76395319577068
"65","Rebel Soldier 1","male",2,4,1.12837916709551,2.25675833419103
"66","Rebel Soldier 10","male",1,23,2.705758189903,5.41151637980601
"67","Rebel Soldier 2","male",6,65,4.54864184146723,9.09728368293446
"68","Rebel Soldier 3","male",1,2,0.797884560802865,1.59576912160573
"69","Rebel Soldier 4","male",1,2,0.797884560802865,1.59576912160573
"70","Rebel Soldier 5","male",1,2,0.797884560802865,1.59576912160573
"71","Rebel Soldier 6","male",4,19,2.45924537968297,4.91849075936593
"72","Rebel Soldier 7","male",3,7,1.49270533036046,2.98541066072092
"73","Rebel Soldier 8","male",1,2,0.797884560802865,1.59576912160573
"74","Rebel Soldier 9","male",1,1,0.564189583547756,1.12837916709551
"75","Red 5","male",1,16,2.25675833419103,4.51351666838205
"76","Red Leader","male",3,20,2.52313252202016,5.04626504404032
"77","Saw Gerrera","male",24,238,8.70389297451101,17.407785949022
"78","Senator Jebel","male",4,44,3.74241031850956,7.48482063701911
"79","Senator Pamlo","female",4,46,3.82651992866291,7.65303985732581
"80","Senator Vaspar","male",4,28,2.98541066072092,5.97082132144185
"81","Sergeant Melshi","male",6,50,3.98942280401433,7.97884560802865
"82","Ship Computer","male",1,2,0.797884560802865,1.59576912160573
"83","Stormtrooper 1","male",1,9,1.69256875064327,3.38513750128654
"84","Stormtrooper 10","male",8,47,3.86788891394752,7.73577782789505
"85","Stormtrooper 11","male",2,7,1.49270533036046,2.98541066072092
"86","Stormtrooper 12","male",2,14,2.11100412282238,4.22200824564475
"87","Stormtrooper 13","male",2,9,1.69256875064327,3.38513750128654
"88","Stormtrooper 14","male",1,2,0.797884560802865,1.59576912160573
"89","Stormtrooper 15","male",1,4,1.12837916709551,2.25675833419103
"90","Stormtrooper 16","male",1,2,0.797884560802865,1.59576912160573
"91","Stormtrooper 17","male",1,4,1.12837916709551,2.25675833419103
"92","Stormtrooper 18","male",1,4,1.12837916709551,2.25675833419103
"93","Stormtrooper 2","male",1,4,1.12837916709551,2.25675833419103
"94","Stormtrooper 3","male",1,7,1.49270533036046,2.98541066072092
"95","Stormtrooper 4","male",2,7,1.49270533036046,2.98541066072092
"96","Stormtrooper 5","male",2,23,2.705758189903,5.41151637980601
"97","Stormtrooper 6","male",1,6,1.38197659788534,2.76395319577068
"98","Stormtrooper 7","male",1,7,1.49270533036046,2.98541066072092
"99","Stormtrooper 8","male",1,3,0.97720502380584,1.95441004761168
"100","Stormtrooper 9","male",1,3,0.97720502380584,1.95441004761168
"101","Technician","male",1,6,1.38197659788534,2.76395319577068
"102","Tivik","male",11,106,5.80868728160518,11.6173745632104
"103","Unknown Senator","male",1,4,1.12837916709551,2.25675833419103
"104","Unknown Senator 2","male",1,5,1.26156626101008,2.52313252202016
"105","Vader","male",9,96,5.52790639154137,11.0558127830827
"106","Vader's Assistant","male",1,6,1.38197659788534,2.76395319577068
